AccountNumber,Name,LegacyFocalPointUser,LegacyOrgUnit,SuggestedFocalPoint,SuggestedOrgUnit
1940,Ville de Nice,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1941,The University of Sydney,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1942,COG Comite Olimpico Guatemalteco,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1943,"EU DG MENA, Directorate-General for the Middle East, North Africa and the Gulf",Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1944,"EU DG CLIMA, Directorate-General for Climate Action",Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1945,Cygnum Capital Asset Management Ltd.,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1946,ENEE Empresa Nacional de Energía Eléctrica,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1947,Parexel International LLC,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1948,Maisha Healthcare Inc.,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1949,Water PNG Limited,Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1950,Microbac SPA,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1951,EMPORNAC Empresa Portuaria Nacional Santo Tomás de Castilla,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1952,Chernihiv City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1953,Kremenchuk City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1954,Kryvyi Rih City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1955,Mykolaiv City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1956,Slavuta City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1957,Sumy City Council,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1958,AFEF,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1959,Ministry of Economic Affairs of the Netherlands,Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1960,Windward Fund,Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1961,Empresa Electricidad Del Peru - Electroperu S A,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
,.,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
,Delete,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
,To be deleted,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
,Asian Institute of Technology (AIT),Mohammed Ameer SOBHAN,"GPO, GVA, Geneva",,
